n 1000
e 0 4 8
e 3 903 2
e 3 905 8
e 3 917 4
e 3 929 2
e 3 930 9
e 3 945 2
e 3 958 3
e 3 970 1
e 3 996 3
e 4 0 10
e 4 13 6
e 4 24 5
e 4 25 8
e 4 26 6
e 4 42 3
e 4 46 2
e 4 53 3
e 4 62 7
e 4 68 9
e 4 69 6
e 4 94 8
e 4 98 4
e 4 103 1
e 4 110 9
e 4 115 9
e 4 129 3
e 4 134 2
e 4 144 7
e 4 147 3
e 4 166 1
e 4 168 10
e 4 177 1
e 4 197 5
e 4 201 5
e 4 216 2
e 4 229 5
e 4 232 10
e 4 251 4
e 4 261 6
e 4 267 4
e 4 291 1
e 4 295 2
e 4 304 9
e 4 325 7
e 4 329 1
e 4 330 10
e 4 333 5
e 4 338 4
e 4 349 3
e 4 350 5
e 4 352 7
e 4 363 7
e 4 371 2
e 4 378 4
e 4 391 6
e 4 413 4
e 4 415 8
e 4 416 4
e 4 431 6
e 4 450 9
e 4 457 1
e 4 461 5
e 4 463 1
e 4 465 5
e 4 470 6
e 4 515 8
e 4 559 6
e 4 572 7
e 4 575 4
e 4 576 8
e 4 607 9
e 4 612 10
e 4 648 6
e 4 666 7
e 4 667 6
e 4 686 8
e 4 689 3
e 4 690 5
e 4 707 9
e 4 722 6
e 4 734 2
e 4 761 8
e 4 787 6
e 4 789 8
e 4 793 7
e 4 801 9
e 4 808 8
e 4 813 4
e 4 814 1
e 4 816 5
e 4 839 3
e 4 842 8
e 4 859 1
e 4 863 1
e 4 892 2
e 4 902 5
e 4 913 3
e 4 936 3
e 4 945 6
e 4 947 2
e 4 950 1
e 4 979 8
e 5 14 9
e 5 34 6
e 5 35 9
e 5 47 1
e 5 48 10
e 5 53 8
e 5 58 4
e 5 71 4
e 5 102 1
e 5 103 2
e 5 110 5
e 5 123 6
e 5 124 3
e 5 126 9
e 5 140 7
e 5 146 9
e 5 157 3
e 5 159 5
e 5 163 4
e 5 174 10
e 5 178 6
e 5 196 5
e 5 201 5
e 5 211 2
e 5 212 2
e 5 222 6
e 5 223 9
e 5 281 1
e 5 283 1
e 5 324 1
e 5 327 1
e 5 334 4
e 5 345 3
e 5 363 10
e 5 370 4
e 5 384 5
e 5 387 6
e 5 388 3
e 5 389 2
e 5 409 4
e 5 434 6
e 5 475 1
e 5 484 2
e 5 494 9
e 5 496 4
e 5 497 9
e 5 514 2
e 5 538 3
e 5 558 9
e 5 566 2
e 5 600 8
e 5 603 1
e 5 616 3
e 5 625 3
e 5 627 8
e 5 629 7
e 5 639 7
e 5 646 4
e 5 652 6
e 5 671 6
e 5 675 7
e 5 688 8
e 5 702 3
e 5 704 8
e 5 726 1
e 5 741 3
e 5 747 8
e 5 752 3
e 5 756 7
e 5 759 3
e 5 760 6
e 5 769 2
e 5 771 3
e 5 777 2
e 5 790 6
e 5 814 3
e 5 822 4
e 5 828 8
e 5 877 5
e 5 880 5
e 5 883 5
e 5 887 9
e 5 888 6
e 5 900 5
e 5 952 4
e 5 954 9
e 5 973 2
e 5 974 4
e 5 975 5
e 5 983 9
e 5 987 9
e 6 1 10
e 6 22 10
e 6 33 6
e 6 36 6
e 6 38 10
e 6 61 2
e 6 70 9
e 6 87 6
e 6 90 3
e 6 117 8
e 6 127 10
e 6 129 1
e 6 131 1
e 6 137 8
e 6 196 7
e 6 208 7
e 6 219 1
e 6 239 2
e 6 249 6
e 6 250 4
e 6 257 1
e 6 261 5
e 6 263 10
e 6 289 5
e 6 306 3
e 6 308 3
e 6 318 9
e 6 322 1
e 6 337 4
e 6 346 1
e 6 359 2
e 6 365 3
e 6 368 3
e 6 392 8
e 6 395 7
e 6 409 3
e 6 416 1
e 6 438 8
e 6 447 3
e 6 455 8
e 6 457 3
e 6 464 5
e 6 468 5
e 6 474 8
e 6 477 8
e 6 489 7
e 6 491 7
e 6 497 9
e 6 517 9
e 6 522 1
e 6 566 1
e 6 567 3
e 6 574 9
e 6 580 9
e 6 599 8
e 6 601 10
e 6 608 5
e 6 633 2
e 6 680 9
e 6 683 10
e 6 699 6
e 6 710 3
e 6 727 1
e 6 729 9
e 6 751 8
e 6 753 3
e 6 778 5
e 6 789 2
e 6 825 3
e 6 828 7
e 6 835 9
e 6 844 3
e 6 845 6
e 6 873 8
e 6 885 6
e 6 887 9
e 6 892 1
e 6 904 2
e 6 914 3
e 6 916 4
e 6 929 2
e 6 943 6
e 6 957 6
e 6 968 2
e 6 979 8
e 6 988 7
e 6 990 1
e 6 994 5
e 7 14 7
e 7 24 5
e 7 25 10
e 7 33 3
e 7 37 1
e 7 43 10
e 7 95 10
e 7 102 2
e 7 103 1
e 7 104 2
e 7 106 8
e 7 118 8
e 7 123 4
e 7 139 6
e 7 147 2
e 7 150 2
e 7 154 3
e 7 162 6
e 7 163 4
e 7 171 9
e 7 181 4
e 7 187 4
e 7 206 10
e 7 207 6
e 7 210 6
e 7 229 8
e 7 239 2
e 7 247 4
e 7 249 9
e 7 253 3
e 7 260 7
e 7 264 7
e 7 281 10
e 7 282 3
e 7 286 8
e 7 316 3
e 7 320 4
e 7 324 4
e 7 325 5
e 7 328 7
e 7 367 10
e 7 373 6
e 7 381 3
e 7 390 9
e 7 404 7
e 7 408 1
e 7 424 6
e 7 439 5
e 7 456 4
e 7 473 2
e 7 491 7
e 7 493 6
e 7 500 10
e 7 501 1
e 7 502 6
e 7 507 10
e 7 510 1
e 7 518 10
e 7 536 8
e 7 537 6
e 7 547 10
e 7 555 1
e 7 576 8
e 7 596 9
e 7 598 8
e 7 612 6
e 7 624 9
e 7 632 4
e 7 633 7
e 7 638 4
e 7 642 5
e 7 652 4
e 7 659 6
e 7 660 8
e 7 671 5
e 7 676 1
e 7 681 3
e 7 699 4
e 7 705 6
e 7 709 8
e 7 726 10
e 7 728 9
e 7 747 6
e 7 753 8
e 7 769 3
e 7 776 1
e 7 779 1
e 7 789 2
e 7 793 1
e 7 794 3
e 7 801 3
e 7 823 3
e 7 824 6
e 7 826 7
e 7 844 9
e 7 848 8
e 7 865 7
e 7 883 8
e 7 904 6
e 7 909 9
e 7 925 8
e 7 948 8
e 7 958 9
e 7 959 5
e 7 969 1
e 7 981 3
e 7 985 2
e 7 986 3
e 7 993 1
e 7 997 6
e 8 2 8
e 8 34 9
e 8 35 8
e 8 37 8
e 8 39 7
e 8 60 5
e 8 61 8
e 8 85 7
e 8 91 8
e 8 96 7
e 8 108 5
e 8 119 5
e 8 141 8
e 8 144 9
e 8 148 2
e 8 151 1
e 8 172 3
e 8 184 10
e 8 192 6
e 8 205 7
e 8 215 10
e 8 222 3
e 8 247 2
e 8 252 10
e 8 255 7
e 8 267 4
e 8 278 9
e 8 291 10
e 8 292 9
e 8 323 6
e 8 345 4
e 8 348 6
e 8 355 9
e 8 360 4
e 8 366 3
e 8 367 5
e 8 372 7
e 8 373 10
e 8 385 9
e 8 396 10
e 8 440 3
e 8 451 5
e 8 462 2
e 8 468 5
e 8 475 6
e 8 477 9
e 8 488 2
e 8 493 3
e 8 494 4
e 8 505 7
e 8 512 10
e 8 515 3
e 8 526 6
e 8 560 9
e 8 569 8
e 8 571 2
e 8 574 5
e 8 578 5
e 8 595 7
e 8 597 10
e 8 604 9
e 8 608 7
e 8 612 10
e 8 614 7
e 8 629 4
e 8 641 4
e 8 646 1
e 8 648 8
e 8 656 6
e 8 661 7
e 8 676 7
e 8 691 7
e 8 713 5
e 8 719 8
e 8 725 6
e 8 730 8
e 8 744 9
e 8 756 9
e 8 765 7
e 8 774 8
e 8 783 10
e 8 800 1
e 8 815 8
e 8 824 4
e 8 844 3
e 8 861 7
e 8 867 9
e 8 869 9
e 8 874 9
e 8 875 3
e 8 878 10
e 8 897 3
e 8 920 8
e 8 923 6
e 8 927 1
e 8 939 3
e 8 948 7
e 8 957 8
e 8 973 3
e 8 974 5
e 8 994 7
e 8 996 6
e 9 0 10
e 9 30 3
e 9 33 6
e 9 37 4
e 9 43 2
e 9 66 2
e 9 69 5
e 9 105 7
e 9 122 1
e 9 139 3
e 9 151 8
e 9 158 10
e 9 165 1
e 9 174 10
e 9 186 5
e 9 190 10
e 9 192 8
e 9 197 1
e 9 198 4
e 9 242 10
e 9 248 4
e 9 257 5
e 9 262 1
e 9 266 10
e 9 284 9
e 9 294 1
e 9 299 5
e 9 305 10
e 9 308 1
e 9 309 10
e 9 318 5
e 9 320 5
e 9 335 7
e 9 351 7
e 9 353 10
e 9 367 2
e 9 371 1
e 9 372 4
e 9 386 9
e 9 397 4
e 9 414 1
e 9 429 5
e 9 431 10
e 9 447 10
e 9 455 9
e 9 473 6
e 9 477 1
e 9 483 2
e 9 484 10
e 9 489 10
e 9 497 2
e 9 502 10
e 9 503 7
e 9 521 6
e 9 526 4
e 9 560 4
e 9 567 1
e 9 569 9
e 9 587 9
e 9 598 4
e 9 599 8
e 9 605 5
e 9 608 2
e 9 609 10
e 9 624 3
e 9 633 8
e 9 635 4
e 9 642 4
e 9 669 9
e 9 675 10
e 9 683 4
e 9 686 7
e 9 697 10
e 9 714 6
e 9 720 3
e 9 774 4
e 9 780 6
e 9 789 6
e 9 793 10
e 9 795 8
e 9 797 7
e 9 805 5
e 9 810 5
e 9 816 6
e 9 831 2
e 9 839 5
e 9 873 2
e 9 875 4
e 9 884 8
e 9 918 5
e 9 927 4
e 9 960 6
e 9 965 8
e 9 968 4
e 10 0 3
e 10 8 8
e 10 47 5
e 10 54 8
e 10 68 2
e 10 101 10
e 10 107 1
e 10 119 7
e 10 147 3
e 10 172 5
e 10 177 10
e 10 187 1
e 10 194 2
e 10 216 9
e 10 217 7
e 10 220 5
e 10 226 8
e 10 228 4
e 10 254 7
e 10 276 4
e 10 277 4
e 10 279 7
e 10 281 7
e 10 301 1
e 10 304 5
e 10 322 4
e 10 340 10
e 10 342 1
e 10 358 8
e 10 363 4
e 10 370 8
e 10 372 6
e 10 376 8
e 10 381 5
e 10 382 9
e 10 385 8
e 10 388 10
e 10 425 10
e 10 431 7
e 10 432 5
e 10 442 8
e 10 449 10
e 10 453 3
e 10 457 8
e 10 461 6
e 10 468 10
e 10 473 1
e 10 532 8
e 10 540 5
e 10 549 3
e 10 554 3
e 10 556 8
e 10 589 4
e 10 593 7
e 10 650 5
e 10 678 10
e 10 703 3
e 10 704 8
e 10 731 1
e 10 741 3
e 10 743 5
e 10 746 10
e 10 753 3
e 10 763 6
e 10 764 5
e 10 768 3
e 10 771 2
e 10 772 6
e 10 773 9
e 10 783 3
e 10 800 1
e 10 809 7
e 10 810 3
e 10 812 7
e 10 815 9
e 10 822 6
e 10 831 6
e 10 843 4
e 10 860 3
e 10 863 9
e 10 883 2
e 10 888 2
e 10 899 10
e 10 926 5
e 10 939 2
e 10 945 8
e 10 956 3
e 10 962 6
e 10 964 3
e 10 978 10
e 10 987 3
e 11 15 3
e 11 24 1
e 11 25 1
e 11 44 9
e 11 47 3
e 11 86 9
e 11 99 2
e 11 105 2
e 11 110 5
e 11 117 6
e 11 119 8
e 11 121 2
e 11 136 1
e 11 142 1
e 11 146 1
e 11 153 8
e 11 160 1
e 11 163 7
e 11 165 9
e 11 195 1
e 11 206 3
e 11 219 8
e 11 231 8
e 11 234 9
e 11 235 7
e 11 239 2
e 11 240 1
e 11 251 5
e 11 281 9
e 11 318 2
e 11 320 4
e 11 335 9
e 11 406 2
e 11 409 2
e 11 416 4
e 11 417 4
e 11 430 9
e 11 437 5
e 11 440 9
e 11 441 4
e 11 444 4
e 11 453 1
e 11 480 10
e 11 481 7
e 11 482 3
e 11 484 3
e 11 492 1
e 11 507 10
e 11 511 9
e 11 530 2
e 11 531 1
e 11 577 8
e 11 583 10
e 11 601 5
e 11 621 6
e 11 625 8
e 11 626 9
e 11 656 9
e 11 657 4
e 11 658 9
e 11 667 2
e 11 672 1
e 11 676 4
e 11 678 3
e 11 682 8
e 11 686 6
e 11 689 6
e 11 695 9
e 11 699 3
e 11 701 6
e 11 712 1
e 11 724 8
e 11 754 2
e 11 779 3
e 11 782 8
e 11 787 7
e 11 795 9
e 11 807 8
e 11 814 9
e 11 815 9
e 11 832 3
e 11 859 10
e 11 863 5
e 11 873 6
e 11 892 7
e 11 913 1
e 11 915 4
e 11 937 4
e 11 946 5
e 11 947 7
e 11 959 2
e 12 20 2
e 12 22 5
e 12 27 7
e 12 29 4
e 12 38 5
e 12 43 4
e 12 56 1
e 12 59 10
e 12 67 4
e 12 70 9
e 12 83 4
e 12 86 2
e 12 87 4
e 12 114 10
e 12 117 1
e 12 126 8
e 12 131 4
e 12 163 8
e 12 180 2
e 12 197 4
e 12 203 7
e 12 221 5
e 12 231 3
e 12 240 10
e 12 241 6
e 12 256 2
e 12 259 7
e 12 267 6
e 12 270 2
e 12 272 7
e 12 279 4
e 12 284 1
e 12 302 2
e 12 310 5
e 12 345 1
e 12 349 6
e 12 351 5
e 12 361 4
e 12 374 3
e 12 376 6
e 12 389 9
e 12 399 6
e 12 406 5
e 12 429 9
e 12 430 7
e 12 454 4
e 12 469 2
e 12 476 6
e 12 483 5
e 12 491 2
e 12 492 5
e 12 510 8
e 12 521 5
e 12 556 3
e 12 561 8
e 12 569 4
e 12 572 4
e 12 579 6
e 12 582 7
e 12 595 10
e 12 601 3
e 12 604 10
e 12 605 1
e 12 606 4
e 12 609 5
e 12 611 6
e 12 634 3
e 12 643 5
e 12 648 5
e 12 668 8
e 12 681 9
e 12 683 1
e 12 691 5
e 12 704 3
e 12 712 4
e 12 734 6
e 12 762 2
e 12 788 5
e 12 804 7
e 12 806 8
e 12 823 1
e 12 825 4
e 12 834 4
e 12 835 1
e 12 840 10
e 12 851 6
e 12 860 5
e 12 881 3
e 12 886 3
e 12 898 9
e 12 901 4
e 12 907 3
e 12 921 6
e 12 925 9
e 12 936 3
e 12 942 3
e 12 948 2
e 12 951 9
e 12 959 2
e 12 963 5
e 12 976 8
e 12 983 5
e 12 986 7
e 12 994 9
e 13 32 4
e 13 39 2
e 13 40 4
e 13 50 2
e 13 64 9
e 13 67 6
e 13 83 4
e 13 108 3
e 13 114 2
e 13 138 8
e 13 147 7
e 13 171 2
e 13 179 5
e 13 200 4
e 13 208 7
e 13 210 2
e 13 227 6
e 13 230 5
e 13 243 5
e 13 247 7
e 13 254 10
e 13 261 5
e 13 276 6
e 13 277 9
e 13 295 5
e 13 296 3
e 13 298 6
e 13 302 6
e 13 342 6
e 13 353 2
e 13 358 9
e 13 360 10
e 13 385 2
e 13 386 1
e 13 396 5
e 13 406 1
e 13 435 9
e 13 443 1
e 13 444 6
e 13 446 6
e 13 451 3
e 13 466 9
e 13 469 9
e 13 471 7
e 13 479 5
e 13 488 8
e 13 499 10
e 13 500 1
e 13 509 5
e 13 510 8
e 13 520 2
e 13 525 10
e 13 526 1
e 13 537 9
e 13 542 6
e 13 546 2
e 13 557 10
e 13 558 2
e 13 560 1
e 13 562 8
e 13 565 9
e 13 576 3
e 13 584 7
e 13 587 6
e 13 588 4
e 13 609 4
e 13 628 7
e 13 634 5
e 13 657 8
e 13 661 5
e 13 683 2
e 13 686 9
e 13 692 1
e 13 711 7
e 13 720 1
e 13 727 6
e 13 730 1
e 13 732 1
e 13 739 7
e 13 741 4
e 13 742 9
e 13 748 8
e 13 759 10
e 13 767 4
e 13 804 6
e 13 808 5
e 13 817 8
e 13 822 7
e 13 831 9
e 13 839 6
e 13 842 6
e 13 845 8
e 13 874 3
e 13 876 5
e 13 878 6
e 13 892 10
e 13 906 10
e 13 920 5
e 13 933 10
e 13 943 4
e 13 957 3
e 14 3 6
e 14 10 9
e 14 17 3
e 14 19 7
e 14 23 5
e 14 30 1
e 14 46 10
e 14 89 4
e 14 98 10
e 14 113 4
e 14 122 8
e 14 142 8
e 14 144 8
e 14 146 3
e 14 169 7
e 14 176 1
e 14 177 6
e 14 181 8
e 14 182 2
e 14 183 6
e 14 187 6
e 14 200 1
e 14 208 7
e 14 213 9
e 14 215 1
e 14 221 4
e 14 227 9
e 14 229 8
e 14 244 5
e 14 256 3
e 14 268 3
e 14 269 10
e 14 271 1
e 14 275 4
e 14 285 4
e 14 289 2
e 14 294 6
e 14 308 9
e 14 334 5
e 14 342 9
e 14 344 5
e 14 360 10
e 14 393 7
e 14 398 5
e 14 401 5
e 14 409 9
e 14 416 1
e 14 420 8
e 14 425 4
e 14 444 8
e 14 450 8
e 14 461 3
e 14 467 6
e 14 473 7
e 14 484 4
e 14 494 4
e 14 497 8
e 14 498 7
e 14 503 6
e 14 506 8
e 14 510 2
e 14 537 2
e 14 547 1
e 14 552 1
e 14 589 1
e 14 606 9
e 14 635 8
e 14 649 5
e 14 655 4
e 14 661 9
e 14 719 3
e 14 732 6
e 14 734 2
e 14 739 10
e 14 747 2
e 14 773 6
e 14 795 3
e 14 812 7
e 14 820 3
e 14 822 8
e 14 831 7
e 14 840 10
e 14 842 8
e 14 856 7
e 14 873 6
e 14 877 8
e 14 886 4
e 14 890 10
e 14 893 9
e 14 895 4
e 14 896 1
e 14 906 10
e 14 910 3
e 14 918 8
e 14 926 8
e 14 927 6
e 14 941 2
e 14 964 4
e 14 966 2
e 14 977 7
e 14 983 4
e 14 998 9
e 15 2 6
e 15 20 6
e 15 37 5
e 15 50 4
e 15 63 9
e 15 84 2
e 15 85 8
e 15 101 5
e 15 104 10
e 15 105 9
e 15 149 1
e 15 156 3
e 15 159 9
e 15 231 4
e 15 233 10
e 15 242 4
e 15 246 1
e 15 258 6
e 15 264 4
e 15 265 8
e 15 289 7
e 15 293 7
e 15 309 2
e 15 319 5
e 15 329 8
e 15 330 9
e 15 337 10
e 15 345 5
e 15 351 9
e 15 366 1
e 15 368 6
e 15 379 8
e 15 407 2
e 15 426 8
e 15 473 9
e 15 489 6
e 15 508 2
e 15 514 1
e 15 540 2
e 15 542 2
e 15 555 10
e 15 562 2
e 15 569 9
e 15 602 5
e 15 609 8
e 15 611 1
e 15 628 1
e 15 635 5
e 15 651 9
e 15 657 7
e 15 659 4
e 15 675 7
e 15 681 7
e 15 690 8
e 15 703 7
e 15 705 1
e 15 716 5
e 15 717 6
e 15 719 8
e 15 730 1
e 15 745 7
e 15 752 8
e 15 758 2
e 15 766 2
e 15 784 2
e 15 795 5
e 15 811 10
e 15 823 7
e 15 834 3
e 15 844 7
e 15 847 6
e 15 860 2
e 15 862 8
e 15 866 8
e 15 870 4
e 15 880 6
e 15 883 5
e 15 892 5
e 15 903 7
e 15 906 8
e 15 912 2
e 15 952 6
e 16 6 4
e 16 10 4
e 16 18 9
e 16 27 1
e 16 48 6
e 16 76 7
e 16 95 3
e 16 115 2
e 16 123 2
e 16 129 6
e 16 150 3
e 16 157 5
e 16 159 8
e 16 173 1
e 16 190 10
e 16 206 2
e 16 216 1
e 16 228 7
e 16 249 5
e 16 250 8
e 16 262 2
e 16 269 4
e 16 273 3
e 16 287 7
e 16 292 7
e 16 309 1
e 16 326 1
e 16 343 2
e 16 346 10
e 16 353 2
e 16 355 8
e 16 370 9
e 16 371 3
e 16 383 3
e 16 389 4
e 16 406 1
e 16 408 9
e 16 409 7
e 16 423 7
e 16 436 6
e 16 438 3
e 16 447 7
e 16 448 3
e 16 450 10
e 16 467 6
e 16 468 1
e 16 479 2
e 16 499 5
e 16 506 2
e 16 508 4
e 16 528 8
e 16 529 5
e 16 560 2
e 16 562 5
e 16 569 2
e 16 588 8
e 16 597 8
e 16 615 1
e 16 618 5
e 16 620 9
e 16 629 5
e 16 635 10
e 16 655 3
e 16 664 1
e 16 678 8
e 16 682 5
e 16 690 5
e 16 700 4
e 16 727 8
e 16 752 10
e 16 759 6
e 16 766 8
e 16 771 9
e 16 806 4
e 16 811 3
e 16 812 6
e 16 814 4
e 16 827 4
e 16 840 8
e 16 847 2
e 16 863 8
e 16 864 8
e 16 870 8
e 16 895 7
e 16 910 6
e 16 912 5
e 16 941 7
e 16 959 1
e 16 964 6
e 16 975 4
e 17 2 10
e 17 20 9
e 17 37 7
e 17 40 7
e 17 41 5
e 17 51 9
e 17 55 8
e 17 61 9
e 17 79 5
e 17 101 5
e 17 122 2
e 17 144 7
e 17 145 7
e 17 146 3
e 17 160 8
e 17 180 4
e 17 184 3
e 17 189 1
e 17 212 5
e 17 218 9
e 17 232 3
e 17 240 5
e 17 245 5
e 17 265 5
e 17 279 5
e 17 284 10
e 17 287 2
e 17 288 10
e 17 292 10
e 17 295 6
e 17 300 7
e 17 302 6
e 17 328 10
e 17 344 2
e 17 354 4
e 17 369 3
e 17 380 3
e 17 403 4
e 17 428 10
e 17 431 6
e 17 435 4
e 17 444 2
e 17 452 3
e 17 457 4
e 17 461 1
e 17 477 5
e 17 487 8
e 17 491 9
e 17 501 7
e 17 502 2
e 17 508 2
e 17 519 10
e 17 550 2
e 17 565 7
e 17 595 9
e 17 618 9
e 17 624 2
e 17 641 2
e 17 663 4
e 17 665 1
e 17 696 9
e 17 701 8
e 17 710 1
e 17 740 3
e 17 742 1
e 17 748 2
e 17 761 5
e 17 762 6
e 17 765 9
e 17 769 10
e 17 777 10
e 17 781 1
e 17 827 3
e 17 830 2
e 17 833 3
e 17 838 7
e 17 849 8
e 17 855 7
e 17 875 10
e 17 900 4
e 17 905 3
e 17 930 6
e 17 936 10
e 17 953 2
e 17 960 4
e 17 965 5
e 17 966 6
e 18 0 2
e 18 7 7
e 18 21 7
e 18 32 4
e 18 41 3
e 18 51 5
e 18 53 5
e 18 56 5
e 18 57 8
e 18 74 4
e 18 79 1
e 18 82 1
e 18 98 6
e 18 99 5
e 18 102 3
e 18 115 1
e 18 128 5
e 18 131 1
