n 100
e 0 4 8
e 48 57 4
e 48 58 4
e 48 60 4
e 48 83 5
e 48 86 6
e 54 58 9
e 54 83 8
e 81 92 8
e 82 89 10
e 82 96 1
e 2 3 10
e 2 30 1
e 2 56 4
e 2 59 4
e 2 97 7
e 2 99 5
e 3 23 3
e 3 26 5
e 3 30 1
e 3 36 9
e 3 48 5
e 3 49 5
e 3 52 6
e 3 56 1
e 3 58 4
e 3 70 9
e 3 79 3
e 3 81 8
e 30 38 4
e 30 45 2
e 30 86 7
e 30 98 7
e 56 67 5
e 56 76 9
e 56 78 7
e 56 80 2
e 56 90 10
e 56 97 7
e 23 31 3
e 23 41 2
e 23 54 8
e 23 70 8
e 23 71 3
e 23 76 1
e 23 87 4
e 23 91 3
e 23 94 9
e 49 81 5
e 49 90 2
e 49 92 9
e 49 95 4
e 52 58 2
e 52 59 2
e 52 69 4
e 52 70 7
e 58 67 7
e 58 81 4
e 70 77 10
e 70 87 6
e 70 96 5
e 5 9 5
e 5 10 6
e 5 24 9
e 5 45 3
e 5 46 1
e 5 54 9
e 5 69 2
e 5 87 4
e 5 93 6
e 33 41 9
e 33 48 7
e 33 84 10
e 33 94 10
e 33 99 5
e 37 38 8
e 37 52 10
e 37 54 8
e 37 57 7
e 37 71 1
e 37 98 3
e 38 44 8
e 38 48 1
e 38 52 7
e 38 55 5
e 38 74 9
e 38 76 6
e 38 88 3
e 38 97 3
e 53 72 9
e 53 75 8
e 53 82 8
e 53 93 10
e 86 90 8
e 86 92 10
e 10 25 3
e 10 39 8
e 10 68 5
e 10 76 1
e 10 77 9
e 10 86 10
e 10 87 9
e 24 33 2
e 24 65 10
e 24 75 9
e 24 76 1
e 24 79 4
e 24 88 3
e 24 97 8
e 45 56 7
e 46 49 10
e 46 90 4
e 69 77 9
e 69 79 10
e 69 92 1
e 87 92 9
e 87 98 4
e 6 18 9
e 6 20 9
e 6 31 3
e 6 46 3
e 6 47 9
e 6 52 4
e 6 69 9
e 6 80 10
e 6 86 2
e 6 98 7
e 18 20 10
e 18 23 2
e 18 42 8
e 18 59 5
e 18 74 1
e 18 78 7
e 18 82 6
e 18 95 1
e 18 96 10
e 20 49 6
e 20 67 6
e 20 78 8
e 20 81 4
e 47 50 10
e 47 65 2
e 47 77 7
e 98 99 5
e 64 67 8
e 75 86 1
e 76 81 8
e 76 93 7
e 77 79 3
e 77 96 8
e 77 98 9
e 16 18 8
e 16 19 8
e 16 23 3
e 16 26 2
e 16 31 8
e 16 36 8
e 16 44 9
e 16 45 3
e 16 48 5
e 16 54 5
e 16 71 2
e 16 89 10
e 16 95 9
e 21 35 7
e 21 44 1
e 21 45 1
e 21 99 7
e 28 34 1
e 28 38 6
e 28 46 10
e 28 68 7
e 28 76 1
e 28 77 4
e 28 79 7
e 28 90 1
e 65 76 6
e 65 81 4
e 73 82 10
e 73 86 7
e 73 90 2
e 73 94 2
e 25 31 5
e 25 36 2
e 25 37 1
e 25 41 1
e 25 61 5
e 25 71 4
e 25 82 3
e 25 86 6
e 39 41 8
e 39 65 7
e 39 66 8
e 39 81 4
e 68 87 8
e 68 90 4
e 68 97 1
e 40 49 9
e 40 60 9
e 40 61 4
e 40 62 7
e 40 82 3
e 40 89 4
e 41 47 6
e 41 52 9
e 41 66 6
e 41 71 7
e 41 81 1
e 41 84 9
e 50 59 2
e 50 79 7
e 50 80 7
e 50 92 9
e 50 93 1
e 50 98 6
e 13 39 2
e 13 84 10
e 14 49 9
e 14 61 7
e 14 68 2
e 14 69 6
e 61 82 4
e 61 84 1
e 61 86 6
e 61 92 4
e 15 17 4
e 15 20 7
e 15 29 1
e 15 58 6
e 15 62 6
e 15 64 2
e 15 83 8
e 15 98 5
e 29 51 1
e 29 54 8
e 29 61 1
e 29 67 2
e 29 71 7
e 29 76 10
e 62 64 7
e 62 75 9
e 62 95 10
e 19 28 1
e 19 40 9
e 19 47 1
e 19 54 2
e 19 58 10
e 19 66 3
e 19 98 4
e 44 53 7
e 44 55 4
e 44 56 2
e 44 71 8
e 44 90 6
e 44 97 9
e 51 69 3
e 51 70 3
e 51 72 4
e 51 86 3
e 51 92 7
e 42 54 10
e 42 67 8
e 42 70 5
e 42 89 7
e 42 99 9
e 74 75 5
e 74 91 9
e 78 94 5
e 78 95 1
e 78 97 9
e 66 93 7
e 67 71 10
e 67 88 3
e 67 90 3
e 43 64 5
e 43 68 5
e 43 69 3
e 43 72 2
e 43 77 6
e 43 88 10
e 43 89 2
e 43 91 6
e 88 95 9
e 94 99 5
e 72 75 9
e 72 94 10
e 55 64 2
e 55 88 6
e 60 76 1
e 60 87 1
e 60 90 10
e 60 92 8
e 63 65 1
e 63 75 10
e 63 79 7
e 85 89 7
e 85 92 6
